Cluster_label	Cluster	Pairwise_similarities
0	1	0.425;0.76;0.441;0.555;0.0;0.538;0.441;0.538;0.383;0.479;0.441;0.455;0.538;0.538;0.383;0.538;0.441;0.383;0.555;0.0;0.479;0.479;0.538;0.441;0.44;0.479;0.441;0.441;0.383;0.383;0.538;0.479;0.441;0.441;0.441;0.366;0.441;0.441;0.479;0.441;0.441;0.383;0.441;0.538;0.383;0.425;0.383;0.425;0.467;0.438;0.0;0.467;0.425;0.434;0.434;0.564;0.434;0.481;0.425;0.425;0.434;0.425;0.434;0.467;0.438;0.0;0.564;0.425;0.425;0.425;0.564;0.425;0.564;0.467;0.467;0.457;0.425;0.564;0.467;0.717;0.467;0.366;0.434;0.425;0.434;0.425;0.425;0.434;0.425;0.425;0.434;0.669;0.467;0.441;0.664;0.0;0.77;0.441;0.644;0.383;0.479;0.441;0.455;0.889;0.538;0.383;0.644;0.441;0.383;0.768;0.0;0.479;0.479;0.644;0.441;0.44;0.479;0.441;0.441;0.383;0.383;0.538;0.479;0.441;0.441;0.441;0.366;0.441;0.441;0.479;0.441;0.441;0.383;0.441;0.538;0.383;0.425;0.383;0.681;0.0;0.657;0.66;0.66;0.434;0.573;0.441;0.619;0.66;0.441;0.434;0.66;0.6;0.573;0.455;0.0;0.467;0.66;0.66;0.66;0.467;0.441;0.467;0.806;0.657;0.457;0.441;0.467;0.806;0.467;0.806;0.366;0.441;0.441;0.441;0.66;0.66;0.434;0.66;0.441;0.434;0.425;0.467;0.0;0.605;0.681;0.681;0.395;0.805;0.455;0.639;0.681;0.555;0.395;0.729;0.619;0.395;0.753;0.0;0.494;0.741;0.781;0.681;0.454;0.605;0.455;0.681;0.395;0.395;0.555;0.605;0.681;0.455;0.681;0.378;0.455;0.455;0.605;0.681;0.681;0.395;0.681;0.555;0.395;0.438;0.395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.441;0.538;0.434;0.59;0.705;0.592;0.828;0.752;0.434;0.538;0.441;0.573;0.555;0.0;0.693;0.587;0.538;0.441;0.467;0.587;0.806;0.657;0.657;0.457;0.538;0.587;0.657;0.467;0.657;0.366;0.441;0.59;0.587;0.441;0.441;0.434;0.441;0.538;0.434;0.425;0.467;0.66;0.366;0.441;0.441;0.619;0.66;0.441;0.366;0.66;0.6;0.366;0.455;0.0;0.441;0.66;0.66;0.76;0.44;0.441;0.441;0.66;0.366;0.366;0.441;0.441;0.66;0.441;0.66;0.366;0.441;0.441;0.441;0.76;0.76;0.366;0.66;0.441;0.366;0.425;0.366;0.656;0.479;0.549;0.619;0.66;0.538;0.656;0.66;0.6;0.549;0.664;0.0;0.479;0.66;0.66;0.66;0.44;0.479;0.441;0.66;0.549;0.656;0.538;0.479;0.66;0.549;0.66;0.366;0.576;0.441;0.656;0.66;0.66;0.656;0.66;0.538;0.576;0.425;0.434;0.434;0.549;0.448;0.383;0.383;0.656;0.383;0.549;0.549;0.395;0.0;0.434;0.383;0.383;0.383;0.434;0.383;0.434;0.656;0.549;0.656;0.383;0.434;0.434;0.549;0.434;0.366;0.576;0.383;0.692;0.383;0.366;0.656;0.366;0.383;0.576;0.366;0.434;0.631;0.592;0.587;0.479;0.7;0.479;0.7;0.573;0.494;0.0;0.631;0.705;0.479;0.585;0.564;0.705;0.763;0.573;0.573;0.457;0.479;0.828;0.573;0.631;0.573;0.366;0.631;0.59;0.731;0.646;0.441;0.434;0.441;0.646;0.646;0.425;0.467;0.455;0.441;0.441;0.549;0.441;0.549;0.549;0.455;0.0;0.631;0.441;0.441;0.441;0.44;0.441;0.705;0.549;0.549;0.549;0.441;0.441;0.441;0.631;0.441;0.366;0.631;0.59;0.549;0.441;0.441;0.549;0.441;0.441;0.549;0.425;0.434;0.726;0.455;0.448;0.619;0.726;0.7;0.469;0.0;0.481;0.619;0.619;0.619;0.481;0.455;0.481;0.619;0.592;0.472;0.813;0.481;0.726;0.481;0.619;0.378;0.455;0.455;0.455;0.619;0.619;0.448;0.619;0.813;0.448;0.438;0.481;0.538;0.383;0.66;0.704;0.383;0.768;0.0;0.479;0.66;0.66;0.66;0.44;0.587;0.441;0.66;0.383;0.383;0.538;0.587;0.704;0.441;0.66;0.366;0.441;0.441;0.587;0.66;0.66;0.383;0.66;0.538;0.383;0.425;0.383;0.383;0.538;0.441;0.383;0.555;0.0;0.693;0.479;0.538;0.441;0.44;0.479;0.441;0.441;0.383;0.383;0.538;0.479;0.441;0.441;0.441;0.366;0.441;0.441;0.479;0.441;0.441;0.383;0.441;0.538;0.383;0.425;0.383;0.383;0.858;0.549;0.395;0.0;0.434;0.383;0.383;0.383;0.434;0.383;0.434;0.656;0.549;0.656;0.383;0.434;0.434;0.549;0.434;0.366;0.576;0.383;0.7;0.383;0.366;0.656;0.366;0.383;0.728;0.366;0.434;0.6;0.383;0.729;0.0;0.479;0.66;0.707;0.66;0.44;0.479;0.441;0.66;0.383;0.383;0.538;0.479;0.66;0.441;0.66;0.366;0.441;0.441;0.479;0.66;0.66;0.383;0.66;0.538;0.383;0.425;0.383;0.549;0.455;0.0;0.441;0.6;0.6;0.6;0.44;0.441;0.441;0.6;0.7;0.549;0.441;0.646;0.704;0.822;0.6;0.366;0.549;0.441;0.7;0.646;0.6;0.549;0.6;0.646;0.776;0.425;0.434;0.395;0.0;0.467;0.383;0.383;0.383;0.467;0.383;0.467;0.573;0.573;0.549;0.383;0.467;0.573;0.549;0.573;0.366;0.549;0.383;0.549;0.383;0.366;0.549;0.366;0.383;0.549;0.366;0.467;0.0;0.494;0.494;0.729;0.455;0.454;0.494;0.455;0.455;0.395;0.395;0.555;0.494;0.455;0.455;0.455;0.378;0.455;0.455;0.494;0.455;0.455;0.395;0.455;0.555;0.395;0.438;0.395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.479;0.479;0.441;0.657;0.479;0.564;0.467;0.467;0.457;0.479;0.657;0.467;0.631;0.467;0.366;0.631;0.441;0.479;0.441;0.441;0.434;0.441;0.479;0.434;0.425;0.467;0.719;0.66;0.44;0.735;0.441;0.66;0.383;0.383;0.479;0.735;0.66;0.441;0.66;0.366;0.441;0.441;0.735;0.66;0.66;0.383;0.66;0.479;0.383;0.425;0.383;0.66;0.44;0.479;0.441;0.66;0.383;0.383;0.538;0.479;0.66;0.441;0.66;0.366;0.441;0.441;0.479;0.66;0.66;0.383;0.66;0.538;0.383;0.425;0.383;0.44;0.441;0.441;0.66;0.383;0.383;0.441;0.441;0.66;0.441;0.66;0.366;0.441;0.441;0.441;0.76;0.76;0.383;0.66;0.441;0.383;0.425;0.383;0.44;0.564;0.467;0.467;0.457;0.44;0.792;0.467;0.564;0.467;0.366;0.44;0.44;0.44;0.44;0.44;0.434;0.44;0.44;0.434;0.425;0.467;0.441;0.441;0.383;0.383;0.479;0.735;0.441;0.441;0.441;0.366;0.441;0.441;0.735;0.441;0.441;0.383;0.441;0.479;0.383;0.425;0.383;0.467;0.467;0.457;0.441;0.564;0.467;0.564;0.735;0.366;0.441;0.59;0.441;0.441;0.441;0.434;0.441;0.441;0.434;0.425;0.467;0.657;0.656;0.441;0.467;0.806;0.549;0.806;0.366;0.576;0.441;0.656;0.66;0.66;0.656;0.66;0.441;0.576;0.425;0.467;0.549;0.383;0.467;0.657;0.549;0.657;0.366;0.549;0.383;0.549;0.383;0.366;0.549;0.366;0.383;0.549;0.366;0.467;0.383;0.457;0.457;0.549;0.457;0.366;0.648;0.383;0.656;0.383;0.366;0.663;0.366;0.383;0.576;0.366;0.457;0.479;0.441;0.441;0.441;0.366;0.441;0.441;0.479;0.441;0.441;0.383;0.441;0.811;0.383;0.425;0.383;0.467;0.564;0.467;0.577;0.441;0.441;0.903;0.646;0.441;0.434;0.441;0.646;0.646;0.425;0.467;0.467;0.806;0.366;0.441;0.441;0.441;0.66;0.66;0.434;0.66;0.441;0.434;0.425;0.467;0.467;0.366;0.631;0.441;0.549;0.441;0.441;0.549;0.441;0.441;0.549;0.749;0.467;0.366;0.441;0.441;0.441;0.66;0.66;0.434;0.66;0.441;0.434;0.425;0.467;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.366;0.441;0.576;0.441;0.441;0.648;0.441;0.441;0.576;0.425;0.434;0.441;0.441;0.441;0.383;0.441;0.441;0.383;0.425;0.383;0.441;0.441;0.656;0.441;0.479;0.576;0.425;0.434;0.76;0.383;0.66;0.646;0.646;0.425;0.383;0.366;0.66;0.441;0.366;0.425;0.366;0.366;0.383;0.576;0.366;0.434;0.441;0.366;0.425;0.366;0.646;0.425;0.383;0.366;0.434;0.366
14	2	0.479;0.383;0.538;0.0;0.538;0.441;0.538;0.538;0.538;0.441;0.383;0.383;0.479;0.441;0.441;0.441;0.744;0.538;0.744;0.441;0.538;0.441;0.555;0.383;0.0;0.441;0.441;0.479;0.434;0.479;0.0;0.479;0.383;0.479;0.587;0.587;0.858;0.434;0.564;0.479;0.467;0.467;0.366;0.479;0.587;0.479;0.858;0.587;0.383;0.605;0.467;0.0;0.383;0.383;0.587;0.434;0.0;0.549;0.383;0.383;0.383;0.434;0.434;0.692;0.434;0.747;0.434;0.434;0.366;0.383;0.383;0.383;0.434;0.383;0.383;0.395;0.434;0.0;0.383;0.383;0.383;0.0;0.538;0.441;0.538;0.538;0.538;0.467;0.434;0.467;0.479;0.467;0.573;0.441;0.538;0.538;0.538;0.867;0.538;0.441;0.555;0.773;0.0;0.441;0.441;0.479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.441;0.538;0.538;0.538;0.441;0.549;0.434;0.549;0.441;0.441;0.441;0.538;0.538;0.538;0.441;0.538;0.441;0.555;0.434;0.0;0.441;0.441;0.479;0.441;0.441;0.441;0.441;0.383;0.383;0.441;0.441;0.6;0.747;0.6;0.441;0.6;0.441;0.441;0.441;0.455;0.383;0.0;0.441;0.441;0.747;0.655;0.538;0.655;0.383;0.383;0.479;0.441;0.441;0.441;0.538;0.693;0.538;0.655;0.538;0.655;0.715;0.383;0.0;0.693;0.441;0.479;0.587;0.655;0.383;0.383;0.646;0.585;0.441;0.441;0.538;0.655;0.538;0.655;0.587;0.655;0.675;0.383;0.0;0.655;0.441;0.587;0.564;0.434;0.564;0.692;0.467;0.467;0.441;0.538;0.763;0.538;0.564;0.587;0.441;0.605;0.467;0.0;0.441;0.441;0.587;0.434;0.564;0.441;0.467;0.467;0.441;0.441;0.655;0.441;0.858;0.441;0.784;0.809;0.467;0.0;0.655;0.441;0.441;0.434;0.549;0.434;0.434;0.366;0.383;0.383;0.383;0.434;0.383;0.383;0.395;0.434;0.0;0.383;0.383;0.383;0.434;0.467;0.467;0.366;0.383;0.383;0.383;0.564;0.383;0.383;0.395;0.467;0.0;0.383;0.383;0.383;0.441;0.441;0.441;0.479;0.646;0.479;0.678;0.577;0.577;0.494;0.434;0.0;0.646;0.577;0.479;0.467;0.441;0.441;0.441;0.441;0.467;0.441;0.441;0.455;0.467;0.0;0.441;0.441;0.441;0.441;0.6;0.441;0.6;0.573;0.441;0.441;0.455;0.573;0.0;0.441;0.441;0.441;0.441;0.441;0.441;0.441;0.441;0.441;0.455;0.366;0.0;0.441;0.441;0.796;0.538;0.816;0.441;0.538;0.441;0.555;0.383;0.0;0.441;0.441;0.479;0.538;0.655;0.587;0.655;0.715;0.383;0.0;0.816;0.441;0.587;0.441;0.538;0.441;0.555;0.383;0.0;0.441;0.441;0.479;0.577;0.784;0.809;0.773;0.0;0.655;0.629;0.441;0.689;0.854;0.383;0.0;0.689;0.689;0.587;0.809;0.383;0.0;0.689;0.689;0.441;0.395;0.0;0.715;0.455;0.605;0.0;0.383;0.383;0.383;0.0;0.0;0.0;0.689;0.441;0.441
8	3	0.425;0.383;0.383;0.383;0.441;0.441;0.441;0.587;0.549;0.577;0.549;0.425;0.425;0.678;0.434;0.576;0.576;0.366;0.366;0.366;0.434;0.576;0.366;0.366;0.577;0.434;0.366;0.366;0.366;0.434;0.441;0.441;0.441;0.441;0.441;0.816
13	4	0.656;0.457;0.549;0.366;0.648;0.0;0.7;0.457;0.457;0.668;0.383;0.457;0.0;0.457;0.383;0.457;0.794;0.383;0.383;0.648;0.383;0.7;0.648;0.648;0.457;0.366;0.434;0.549;0.366;0.576;0.0;0.656;0.434;0.434;0.594;0.383;0.383;0.0;0.434;0.383;0.434;0.668;0.383;0.383;0.576;0.383;0.638;0.576;0.576;0.434;0.366;0.631;0.631;0.631;0.0;0.434;0.834;0.467;0.448;0.631;0.457;0.0;0.631;0.631;0.631;0.475;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.467;0.631;0.631;0.631;0.0;0.549;0.631;0.434;0.566;0.631;0.383;0.0;0.631;0.631;0.631;0.559;0.889;0.631;0.766;0.631;0.631;0.549;0.631;0.434;0.631;0.631;0.0;0.366;0.631;0.425;0.378;0.631;0.366;0.0;0.631;0.631;0.631;0.373;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.366;0.631;0.0;0.576;0.631;0.573;0.668;0.631;0.457;0.0;0.631;0.631;0.631;0.586;0.631;0.631;0.648;0.631;0.631;0.648;0.678;0.822;0.631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.434;0.434;0.594;0.383;0.383;0.0;0.434;0.383;0.434;0.713;0.383;0.383;0.576;0.383;0.7;0.576;0.576;0.434;0.366;0.467;0.448;0.631;0.457;0.0;0.631;0.631;0.631;0.475;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.467;0.631;0.448;0.425;0.457;0.0;0.467;0.425;0.467;0.69;0.425;0.425;0.434;0.425;0.434;0.434;0.434;0.467;0.425;0.395;0.395;0.0;0.448;0.395;0.448;0.605;0.395;0.395;0.668;0.395;0.594;0.668;0.668;0.448;0.378;0.383;0.0;0.631;0.631;0.631;0.39;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.383;0.631;0.0;0.457;0.383;0.457;0.466;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.457;0.366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.631;0.631;0.475;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.467;0.631;0.631;0.39;0.646;0.834;0.631;0.834;0.631;0.441;0.631;0.383;0.631;0.475;0.631;0.631;0.631;0.631;0.631;0.441;0.631;0.467;0.631;0.39;0.39;0.586;0.39;0.76;0.586;0.586;0.475;0.373;0.646;0.766;0.646;0.631;0.441;0.631;0.383;0.631;0.631;0.834;0.631;0.441;0.631;0.383;0.631;0.631;0.631;0.648;0.648;0.434;0.631;0.631;0.441;0.631;0.383;0.631;0.576;0.631;0.434;0.631;0.648;0.434;0.441;0.434;0.631;0.366
20	5	0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.383;0.828;0.383;0.383;0.828;0.383;0.71;0.656;0.648;0.576;0.705;0.631;0.705;0.648;0.631;0.631;0.631;0.631;0.467;0.648;0.649;0.425;0.631;0.656;0.576;0.648;0.576;0.776;0.631;0.631;0.648;0.631;0.903;0.631;0.631;0.467;0.648;0.672;0.582;0.631;0.776;0.576;0.576;0.434;0.434;0.434;0.648;0.549;0.549;0.383;0.576;0.434;0.648;0.383;0.383;0.383;0.383;0.576;0.441;0.441;0.441;0.576;0.627;0.68;0.441;0.629;0.434;0.692;0.441;0.425;0.441;0.441;0.692;0.792;0.792;0.631;0.631;0.631;0.631;0.631;0.434;0.434;0.59;0.425;0.631;0.776;0.441;0.792;0.631;0.631;0.631;0.631;0.631;0.434;0.434;0.441;0.425;0.631;0.631;0.735;0.631;0.631;0.631;0.631;0.631;0.434;0.434;0.649;0.425;0.631;0.631;0.441;0.631;0.631;0.631;0.631;0.434;0.648;0.441;0.425;0.631;0.631;0.576;0.631;0.631;0.77;0.434;0.549;0.441;0.425;0.631;0.631;0.549;0.631;0.631;0.467;0.549;0.441;0.585;0.631;0.631;0.549;0.631;0.383;0.383;0.441;0.425;0.631;0.631;0.441;0.749;0.629;0.441;0.425;0.631;0.631;0.629;0.457;0.383;0.383;0.383;0.383;0.434;0.383;0.383;0.828;0.383;0.692;0.425;0.441;0.441;0.441;0.425;0.425;0.425;0.631;0.646;0.441
6	6	0.457;0.441;0.467;0.441;0.434;0.467;0.366;0.467;0.441;0.366;0.457;0.383;0.549;0.576;0.366;0.457;0.383;0.6;0.6;0.366;0.719;0.366;0.6;0.441;0.66;0.434;0.6;0.366;0.6;0.441;0.383;0.6;0.366;0.6;0.735;0.549;0.366;0.434;0.383;0.366;0.801;0.441;0.366;0.366;0.587
17	7	0.425;0.457;0.728;0.425;0.549;0.425;0.549;0.903;0.692;0.576;0.728;0.576;0.576;0.677;0.576;0.728;0.366;0.77;0.366;0.441;0.441;0.627;0.366;0.77;0.366;0.441;0.366;0.441;0.627;0.455;0.441;0.627;0.366;0.434;0.441;0.441;0.627;0.849;0.849;0.434;0.441;0.434;0.441;0.773;0.455;0.457;0.627;0.577;0.366;0.549;0.366;0.549;0.434;0.638;0.576;0.78;0.576;0.576;0.677;0.576;0.78;0.366;0.441;0.441;0.366;0.441;0.366;0.441;0.366;0.441;0.441;0.455;0.441;0.441;0.366;0.441;0.7;0.631;0.549;0.631;0.7;0.549;0.631;0.566;0.549;0.7;0.366;0.841;0.627;0.366;0.441;0.366;0.441;0.627;0.455;0.441;0.841;0.773;0.849;0.549;0.549;0.7;0.549;0.577;0.566;0.549;0.841;0.773;0.434;0.631;0.434;0.689;0.773;0.455;0.59;0.627;0.577;0.576;0.692;0.576;0.576;0.659;0.576;0.692;0.366;0.576;0.648;0.648;0.594;0.648;0.648;0.366;0.576;0.576;0.677;0.576;0.78;0.366;0.656;0.594;0.648;0.648;0.366;0.594;0.648;0.867;0.577;0.594;0.677;0.378;0.648;0.366;0.773
34	8	0.744;0.441;0.455;0.366;0.768;0.0;0.724;0.691;0.744;0.744;0.441;0.441;0.735;0.733;0.455;0.366;0.768;0.0;0.724;0.691;0.744;0.744;0.646;0.441;0.724;0.455;0.366;0.455;0.0;0.776;0.742;0.441;0.631;0.792;0.441;0.441;0.378;0.469;0.0;0.455;0.455;0.455;0.455;0.455;0.455;0.455;0.378;0.0;0.366;0.366;0.366;0.366;0.577;0.366;0.366;0.0;0.747;0.712;0.768;0.805;0.455;0.455;0.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.811;0.735;0.724;0.646;0.629;0.724;0.691;0.691;0.629;0.629;0.691;0.744;0.441;0.441;0.735;0.59;0.59;0.724;0.629;0.441;0.441
12	9	0.441;0.449;0.68;0.77;0.68;0.0;0.441;0.383;0.627;0.434;0.712;0.441;0.441;0.441;0.0;0.441;0.383;0.441;0.383;0.449;0.449;0.449;0.0;0.449;0.373;0.449;0.373;0.648;0.68;0.0;0.549;0.383;0.627;0.728;0.648;0.0;0.549;0.383;0.627;0.648;0.0;0.631;0.383;0.627;0.648;0.0;0.0;0.0;0.0;0.383;0.441;0.549;0.383;0.383;0.383
52	10	0.467;0.434;0.612;0.378;0.383;0.564;0.587;0.479;0.479;0.434;0.457;0.438;0.59;0.59;0.434;0.425;0.425;0.434;0.378;0.383;0.549;0.549;0.383;0.383;0.438;0.425;0.457;0.479;0.479;0.479;0.455;0.378;0.455;0.455;0.455;0.59;0.441;0.441;0.441;0.549;0.383;0.383;0.479;0.479;0.828
